ibge7,mun,tx_fund_adeq,tx_med_adeq,tx_atend_0_3,tx_aten15_17
3160405,Santo Antônio do Monte,75,3,57,4
3160454,Santo Antônio do Retiro,99,0,90,9
3160504,Santo Antônio do Rio Abaixo,100,0,85,3
3160603,Santo Hipólito,68,4,62,3
3160702,Santos Dumont,71,2,56,6
3160801,São Bento Abade,92,8,62,2
3160900,São Brás do Suaçuí,80,5,58,9
3160959,São Domingos das Dores,100,0,81,8
3161007,São Domingos do Prata,69,5,48,1
3161056,São Félix de Minas,87,2,63,6
3161106,São Francisco,97,8,66,3
3161205,São Francisco de Paula,63,6,66,3
3161304,São Francisco de Sales,69,5,36,3
3161403,São Francisco do Glória,70,9,61,1
3161502,São Geraldo,52,4,32,6
3161601,São Geraldo da Piedade,91,8,78,1
3161650,São Geraldo do Baixio,75,5,61,7
3161700,São Gonçalo do Abaeté,78,7,47,5
3161809,São Gonçalo do Pará,75,9,44,2
3161908,São Gonçalo do Rio Abaixo,87,7,69,4
3125507,São Gonçalo do Rio Preto,77,1,79,2
3162005,São Gonçalo do Sapucaí,75,1,61,2
3162104,São Gotardo,93,1,61,8
3162203,São João Batista do Glória,66,9,57,8
3162252,São João da Lagoa,73,9,64,1
3162302,São João da Mata,75,0,40,0
3162401,São João da Ponte,79,0,48,2
3162450,São João das Missões,100,0,48,4
3162500,São João Del Rei,74,0,56,2
3162559,São João do Manhuaçu,84,7,54,8
3162575,São João do Manteninha,79,9,50,7
3162609,São João do Oriente,77,9,71,0
3162658,São João do Pacuí,79,2,55,1
3162708,São João do Paraíso,76,4,60,8
3162807,São João Evangelista,81,7,100,0
3162906,São João Nepomuceno,68,8,47,6
3162922,São Joaquim de Bicas,84,3,40,6
3162948,São José da Barra,77,6,60,3
3162955,São José da Lapa,79,9,64,9
3163003,São José da Safira,100,0,71,3
3163102,São José da Varginha,66,8,38,7
3163201,São José do Alegre,73,2,61,9
3163300,São José do Divino,89,9,55,8
3163409,São José do Goiabal,74,0,47,9
3163508,São José do Jacuri,88,4,53,8
3163607,São José do Mantimento,99,9,82,4
3163706,São Lourenço,75,5,58,1
3163805,São Miguel do Anta,64,7,38,3
3163904,São Pedro da União,63,9,34,4
3164100,São Pedro do Suaçuí,82,3,54,2
3164001,São Pedro dos Ferros,70,4,54,2
3164209,São Romão,69,7,49,6
3164308,São Roque de Minas,70,2,46,5
3164407,São Sebastião da Bela Vista,83,1,52,9
3164431,São Sebastião da Vargem Alegre,97,2,79,1
3164472,São Sebastião do Anta,95,8,66,5
3164506,São Sebastião do Maranhão,86,9,66,5
3164605,São Sebastião do Oeste,90,5,45,6
3164704,São Sebastião do Paraíso,77,3,55,4
3164803,São Sebastião do Rio Preto,82,4,69,5
3164902,São Sebastião do Rio Verde,74,6,58,5
3165008,São Tiago,73,6,66,8
3165107,São Tomás de Aquino,83,8,74,0
3165206,São Tomé das Letras,64,5,51,7
3165305,São Vicente de Minas,70,8,76,4
3165404,Sapucaí Mirim,71,8,57,3
3165503,Sardoá,77,7,93,3
3165537,Sarzedo,93,1,53,8
3165560,Sem-Peixe,67,0,59,6
3165578,Senador Amaral,100,0,79,2
3165602,Senador Cortês,100,0,56,0
3165701,Senador Firmino,72,0,44,1
3165800,Senador José Bento,62,0,56,5
3165909,Senador Modestino Gonçalves,81,3,58,4
3166006,Senhora de Oliveira,75,2,53,1
3166105,Senhora do Porto,76,7,21,4
3166204,Senhora dos Remédios,65,1,54,5
3166303,Sericita,73,5,48,4
3166402,Seritinga,70,4,48,2
3166501,Serra Azul de Minas,100,0,70,4
3166600,Serra da Saudade,70,4,0,0
3166808,Serra do Salitre,81,6,58,1
3166709,Serra dos Aimorés,79,4,45,5
3166907,Serrania,82,6,52,7
3166956,Serranópolis de Minas,82,2,55,8
3167004,Serranos,67,3,42,7
3167103,Serro,90,9,63,2
3167202,Sete Lagoas,75,9,57,4
3165552,Setubinha,100,0,62,1
3167301,Silveirânia,91,7,97,1
3167400,Silvianópolis,67,3,33,8
3167509,Simão Pereira,65,7,32,9
3167608,Simonésia,85,1,48,4
3167707,Sobrália,82,7,41,8
3167806,Soledade de Minas,62,9,43,7
3167905,Tabuleiro,66,7,32,0
3168002,Taiobeiras,81,3,62,1
3168051,Taparuba,87,0,50,1
3168101,Tapira,70,5,46,4
3168200,Tapiraí,68,9,51,8
3168309,Taquaraçu de Minas,80,7,48,0
3168408,Tarumirim,74,2,47,2
3168507,Teixeiras,65,7,43,1
3168606,Teófilo Otoni,86,7,58,1
3168705,Timóteo,76,0,61,4
3168804,Tiradentes,54,5,29,5
3168903,Tiros,67,8,48,3
3169000,Tocantins,68,1,42,6
3169059,Tocos do Moji,60,1,61,6
3169109,Toledo,79,8,51,3
3169208,Tombos,60,1,40,1
3169307,Três Corações,81,5,65,5
3169356,Três Marias,75,9,57,6
3169406,Três Pontas,78,4,65,6
3169505,Tumiritinga,83,2,50,7
3169604,Tupaciguara,72,4,50,1
3169703,Turmalina,82,1,62,5
3169802,Turvolândia,79,2,50,0
3169901,Ubá,72,7,57,8
3170008,Ubaí,96,9,58,1
3170057,Ubaporanga,81,8,51,2
3170107,Uberaba,70,8,52,7
3170206,Uberlândia,85,8,58,3
3170305,Umburatiba,100,0,61,1
3170404,Unaí,90,5,67,4
3170438,União de Minas,65,9,38,1
3170479,Uruana de Minas,100,0,66,5
3170503,Urucânia,78,6,45,9
3170529,Urucuia,59,0,39,9
3170578,Vargem Alegre,69,4,52,0
3170602,Vargem Bonita,79,3,55,9
3170651,Vargem Grande do Rio Pardo,79,7,75,4
3170701,Varginha,77,0,62,9
3170750,Varjão de Minas,87,0,59,9
3170800,Várzea da Palma,73,0,48,4
3170909,Varzelândia,100,0,76,1
3171006,Vazante,79,2,56,2
3171030,Verdelândia,97,7,61,2
3171071,Veredinha,76,5,81,7
3171105,Veríssimo,70,6,44,7
3171154,Vermelho Novo,85,0,73,6
3171204,Vespasiano,82,7,56,3
3171303,Viçosa,72,5,65,6
3171402,Vieiras,71,0,62,6
3171600,Virgem da Lapa,73,5,54,7
3171709,Virgínia,69,3,55,6
3171808,Virginópolis,84,1,46,2
3171907,Virgolândia,79,5,65,4
3172004,Visconde do Rio Branco,68,9,38,9
3172103,Volta Grande,60,3,41,8
3172202,Wenceslau Braz,92,1,69,3
